,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
889,CS 498: Cloud Computing Applications,1574,3.56,9.7,46.1,10.9,9.5,15.4,1.8,1.1,2.2,0.6,0.3,1.0,0.1,1.3
890,CS 498: Computational Advertising,96,3.78,20.8,49.0,20.8,5.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.1
891,CS 498: Computational Geometry,24,3.54,8.3,37.5,12.5,12.5,20.8,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0
892,CS 498: Data Management in the Cloud,37,3.78,51.4,18.9,10.8,10.8,5.4,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0
893,CS 498: Data Science & Analytics,31,3.03,3.2,22.6,12.9,12.9,9.7,9.7,12.9,6.5,3.2,0.0,6.5,0.0,0.0
894,CS 498: End-to-End Data Science,64,3.91,50.0,40.6,4.7,1.6,0.0,1.6,0.0,0.0,0.0,0.0,1.6,0.0,0.0
895,CS 498: Game Development,364,3.76,32.7,45.6,8.0,4.9,2.2,1.1,0.8,1.4,1.4,0.0,1.1,0.0,0.8
896,CS 498: Internet of Things,99,3.67,41.4,39.4,5.1,3.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0
897,CS 498: Intro to Deep Learning,167,3.71,22.2,59.3,1.2,1.8,6.0,2.4,0.0,3.6,0.6,0.6,1.2,0.6,0.6
898,CS 498: Intro to Machine Perception,78,3.49,48.7,17.9,2.6,12.8,2.6,1.3,1.3,6.4,1.3,0.0,1.3,0.0,3.8
899,CS 498: Intro to Quantum Computing,60,3.92,23.3,60.0,10.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,CS 498: Introduction to Machine Percep,57,3.74,61.4,24.6,1.8,1.8,5.3,0.0,0.0,0.0,0.0,0.0,1.8,0.0,3.5
901,CS 498: Reinforcement Learning,46,3.64,26.1,37.0,4.3,13.0,10.9,4.3,0.0,4.3,0.0,0.0,0.0,0.0,0.0
902,CS 498: Robotic Systems,22,3.32,31.8,22.7,4.5,9.1,13.6,4.5,0.0,0.0,4.5,4.5,0.0,0.0,4.5
903,CS 498: The Art of Web Programming,172,3.62,12.2,45.3,16.3,10.5,6.4,2.9,2.3,1.7,0.6,0.0,0.0,0.0,1.7
904,CS 498: Trustworthy Machine Learning,24,3.71,12.5,62.5,0.0,12.5,4.2,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0
905,CS 500: Current Topics in Computing Education Research,128,3.77,0.8,69.5,14.8,5.5,5.5,0.8,0.8,1.6,0.0,0.0,0.0,0.0,0.8
